Parent Set ID,Minifig ID,Name,Qty In Set,Unit Market Price,Total Value
76031,sh0174,,1,NEW,29.54,29.54
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.06,25.06
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.28,19.28
76031,sh0174,,1,NEW,29.54,29.54
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.06,25.06
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.28,19.28
76031,sh0174,,1,NEW,29.54,29.54
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.06,25.06
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.28,19.28
76031,sh0174,,1,NEW,29.54,29.54
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.06,25.06
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.28,19.28
76031,sh0174,,1,NEW,29.54,29.54
76031,sh0174,,1,USED,14.80,14.80
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.28,19.28
76031,sh0174,,1,NEW,29.54,29.54
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.06,25.06
76031,sh0174,,1,NEW,29.54,29.54
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.09,25.09
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.29,19.29
76031,sh0174,,1,NEW,29.54,29.54
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.09,25.09
76031,sh0167,,1,NEW,0.00,0.00
76031,sh0167,,1,USED,0.00,0.00
76031,sh0173,,1,NEW,0.00,0.00
76031,sh0173,,1,USED,0.00,0.00
76031,sh0174,,1,NEW,0.00,0.00
76031,sh0174,,1,USED,0.00,0.00
76031,sh0175,,1,NEW,0.00,0.00
76031,sh0175,,1,USED,0.00,0.00
76031,sh0173,,1,NEW,64.94,64.94
76031,sh0173,,1,USED,59.18,59.18
76031,sh0167,,1,NEW,59.63,59.63
76031,sh0167,,1,USED,62.16,62.16
76031,sh0174,,1,NEW,59.09,59.09
76031,sh0174,,1,USED,55.80,55.80
76031,sh0175,,1,NEW,61.06,61.06
76031,sh0175,,1,USED,56.74,56.74
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.29,19.29
76031,sh0174,,1,NEW,29.54,29.54
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.09,25.09
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.29,19.29
76031,sh0174,,1,NEW,29.54,29.54
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.09,25.09
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.29,19.29
76031,sh0174,,1,NEW,29.54,29.54
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.09,25.09
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.29,19.29
76031,sh0174,,1,NEW,29.54,29.54
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.09,25.09
76031,sh0173,,1,NEW,0.00,0.00
76031,sh0173,,1,USED,0.00,0.00
76031,sh0167,,1,NEW,0.00,0.00
76031,sh0167,,1,USED,0.00,0.00
76031,sh0174,,1,NEW,0.00,0.00
76031,sh0174,,1,USED,0.00,0.00
76031,sh0175,,1,NEW,0.00,0.00
76031,sh0175,,1,USED,0.00,0.00
76031,sh0173,,1,NEW,0.00,0.00
76031,sh0173,,1,USED,0.00,0.00
76031,sh0167,,1,NEW,0.00,0.00
76031,sh0167,,1,USED,0.00,0.00
76031,sh0174,,1,NEW,0.00,0.00
76031,sh0174,,1,USED,0.00,0.00
76031,sh0175,,1,NEW,0.00,0.00
76031,sh0175,,1,USED,0.00,0.00
76031,sh0173,,1,NEW,0.00,0.00
76031,sh0173,,1,USED,0.00,0.00
76031,sh0167,,1,NEW,0.00,0.00
76031,sh0167,,1,USED,0.00,0.00
76031,sh0174,,1,NEW,0.00,0.00
76031,sh0174,,1,USED,0.00,0.00
76031,sh0175,,1,NEW,0.00,0.00
76031,sh0175,,1,USED,0.00,0.00
76031,sh0173,,1,NEW,0.00,0.00
76031,sh0173,,1,USED,0.00,0.00
76031,sh0167,,1,NEW,0.00,0.00
76031,sh0167,,1,USED,0.00,0.00
76031,sh0174,,1,NEW,0.00,0.00
76031,sh0174,,1,USED,0.00,0.00
76031,sh0173,,1,NEW,0.00,0.00
76031,sh0173,,1,USED,0.00,0.00
76031,sh0175,,1,NEW,0.00,0.00
76031,sh0175,,1,USED,0.00,0.00
76031,sh0167,,1,NEW,0.00,0.00
76031,sh0167,,1,USED,0.00,0.00
76031,sh0174,,1,NEW,0.00,0.00
76031,sh0174,,1,USED,0.00,0.00
76031,sh0175,,1,NEW,0.00,0.00
76031,sh0175,,1,USED,0.00,0.00
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.29,19.29
76031,sh0174,,1,NEW,29.46,29.46
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.09,25.09
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.29,19.29
76031,sh0174,,1,NEW,29.46,29.46
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.09,25.09
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.29,19.29
76031,sh0174,,1,NEW,29.46,29.46
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.09,25.09
76031,sh0173,,1,NEW,59.13,59.13
76031,sh0173,,1,USED,38.27,38.27
76031,sh0167,,1,NEW,36.62,36.62
76031,sh0167,,1,USED,19.29,19.29
76031,sh0174,,1,NEW,29.46,29.46
76031,sh0174,,1,USED,14.80,14.80
76031,sh0175,,1,NEW,45.86,45.86
76031,sh0175,,1,USED,25.09,25.09
76031,sh0173,,1,NEW,59.13,59.13
